bike_id,total_used_hrs,total_possible_hrs,total_unused_hrs,percent_used
19164,694.0,19512,18818.0,3.56
13052,2762.0,67302,64540.0,4.1
15406,228.0,11470,11242.0,1.99
12979,2043.0,57120,55077.0,3.58
19828,816.0,18359,17543.0,4.44
10155,1430.0,67277,65847.0,2.13
22302,329.0,5059,4730.0,6.5
21725,338.0,8700,8362.0,3.89
287,2560.0,67162,64602.0,3.81
42237,65.0,3009,2944.0,2.16
42227,320.0,2938,2618.0,10.89
55798,61.0,3003,2942.0,2.03
52086,75.0,3001,2926.0,2.5
307,2028.0,54195,52167.0,3.74
1854,2297.0,67067,64770.0,3.42
12007,2067.0,67269,65202.0,3.07
7880,1816.0,41073,39257.0,4.42
2114,2074.0,67265,65191.0,3.08
4389,2707.0,65278,62571.0,4.15
2177,2216.0,67137,64921.0,3.3
14448,1583.0,51849,50266.0,3.05
4980,1326.0,44106,42780.0,3.01
1800,1936.0,67165,65229.0,2.88
16419,1347.0,28994,27647.0,4.65
7797,2064.0,67263,65199.0,3.07
2889,1618.0,52968,51350.0,3.05
19062,904.0,16627,15723.0,5.44
4519,2141.0,65862,63721.0,3.25
7565,1634.0,49568,47934.0,3.3
4372,2011.0,67300,65289.0,2.99
11421,2013.0,66988,64975.0,3.01
8897,2145.0,67340,65195.0,3.19
14614,1700.0,48745,47045.0,3.49
14844,2116.0,47987,45871.0,4.41
324,1904.0,67303,65399.0,2.83
16354,975.0,17776,16801.0,5.48
16226,974.0,32759,31785.0,2.97
6166,2044.0,43443,41399.0,4.71
7920,1935.0,65255,63320.0,2.97
14835,1311.0,50062,48751.0,2.62
12795,1494.0,30739,29245.0,4.86
2081,1918.0,54148,52230.0,3.54
11790,2426.0,66825,64399.0,3.63
317,1488.0,67234,65746.0,2.21
4445,2450.0,67300,64850.0,3.64
11016,1852.0,67310,65458.0,2.75
15538,1837.0,41721,39884.0,4.4
16155,1746.0,33147,31401.0,5.27
7382,2387.0,67320,64933.0,3.55
18535,880.0,16680,15800.0,5.28
218,1073.0,67290,66217.0,1.59
22306,344.0,7823,7479.0,4.4
15445,1864.0,42555,40691.0,4.38
3462,2105.0,66841,64736.0,3.15
483,2332.0,67321,64989.0,3.46
6839,2165.0,63970,61805.0,3.38
2897,2299.0,66005,63706.0,3.48
13547,1813.0,57898,56085.0,3.13
14875,1400.0,48018,46618.0,2.92
5514,1866.0,67258,65392.0,2.77
10466,1783.0,67305,65522.0,2.65
6073,1645.0,54182,52537.0,3.04
14477,1839.0,51494,49655.0,3.57
13977,2077.0,58989,56912.0,3.52
126,1769.0,53671,51902.0,3.3
20585,670.0,11416,10746.0,5.87
9138,2139.0,67261,65122.0,3.18
924,1910.0,55743,53833.0,3.43
15419,676.0,21838,21162.0,3.1
1918,1559.0,57688,56129.0,2.7
17543,1032.0,21445,20413.0,4.81
1100,1466.0,45124,43658.0,3.25
5079,1004.0,26979,25975.0,3.72
21341,436.0,8776,8340.0,4.97
17031,1056.0,25898,24842.0,4.08
13285,1384.0,64371,62987.0,2.15
15492,1795.0,42381,40586.0,4.24
18432,760.0,13680,12920.0,5.56
15784,1582.0,40032,38450.0,3.95
3495,1089.0,33460,32371.0,3.25
9554,1742.0,56377,54635.0,3.09
4827,1619.0,52930,51311.0,3.06
16915,1286.0,26200,24914.0,4.91
8209,1936.0,60475,58539.0,3.2
11783,1798.0,67287,65489.0,2.67
477,1030.0,53264,52234.0,1.93
16418,1739.0,29765,28026.0,5.84
15728,1380.0,36345,34965.0,3.8
14899,1123.0,30385,29262.0,3.7
7230,2095.0,50282,48187.0,4.17
15195,1505.0,42603,41098.0,3.53
16464,1722.0,30669,28947.0,5.61
7661,2086.0,67317,65231.0,3.1
10582,2108.0,67283,65175.0,3.13
15816,1907.0,38770,36863.0,4.92
1376,545.0,14746,14201.0,3.7
6812,1944.0,67307,65363.0,2.89
10011,2086.0,67160,65074.0,3.11
3031,1793.0,52159,50366.0,3.44
2301,2163.0,54343,52180.0,3.98
5854,2351.0,64327,61976.0,3.65
7583,2297.0,67272,64975.0,3.41
13934,2073.0,55903,53830.0,3.71
23521,113.0,4656,4543.0,2.43
8789,2092.0,65906,63814.0,3.17
9983,2408.0,66611,64203.0,3.62
18918,578.0,16850,16272.0,3.43
9568,1764.0,67327,65563.0,2.62
4671,1688.0,53833,52145.0,3.14
4892,1310.0,54119,52809.0,2.42
10557,1896.0,59330,57434.0,3.2
10263,2259.0,67103,64844.0,3.37
5721,2081.0,66294,64213.0,3.14
7102,1739.0,67300,65561.0,2.58
12274,2306.0,67246,64940.0,3.43
17636,999.0,19228,18229.0,5.2
19214,821.0,15360,14539.0,5.35
1545,2185.0,51240,49055.0,4.26
13472,2143.0,56825,54682.0,3.77
5998,1385.0,38839,37454.0,3.57
14452,2131.0,52132,50001.0,4.09
6071,1955.0,53185,51230.0,3.68
22908,315.0,6495,6180.0,4.85
21420,397.0,7218,6821.0,5.5
9580,2020.0,65821,63801.0,3.07
21009,491.0,7832,7341.0,6.27
14513,1919.0,51414,49495.0,3.73
448,1879.0,49683,47804.0,3.78
15651,1222.0,30318,29096.0,4.03
7833,2138.0,67289,65151.0,3.18
7547,2124.0,67325,65201.0,3.15
10576,2446.0,67307,64861.0,3.63
488,1163.0,40667,39504.0,2.86
8070,1947.0,65897,63950.0,2.95
6176,1613.0,53162,51549.0,3.03
15376,1099.0,42503,41404.0,2.59
15741,1362.0,32621,31259.0,4.18
17352,1528.0,21882,20354.0,6.98
1495,1681.0,56752,55071.0,2.96
823,2382.0,67288,64906.0,3.54
14991,1647.0,45053,43406.0,3.66
16717,1294.0,27915,26621.0,4.64
10197,1253.0,33117,31864.0,3.78
15244,1821.0,42405,40584.0,4.29
7650,1477.0,61161,59684.0,2.41
14702,1548.0,50109,48561.0,3.09
5989,1452.0,53171,51719.0,2.73
17034,1486.0,25900,24414.0,5.74
7980,1935.0,67314,65379.0,2.87
8993,1936.0,55588,53652.0,3.48
14248,1779.0,54676,52897.0,3.25
8801,1813.0,51884,50071.0,3.49
7795,1818.0,67235,65417.0,2.7
13397,2270.0,58151,55881.0,3.9
7693,2647.0,67308,64661.0,3.93
18980,611.0,15467,14856.0,3.95
18192,1110.0,18323,17213.0,6.06
16524,1538.0,30328,28790.0,5.07
13341,1277.0,30290,29013.0,4.22
7377,2065.0,67312,65247.0,3.07
15551,260.0,12181,11921.0,2.13
9102,2349.0,67270,64921.0,3.49
7286,2612.0,67306,64694.0,3.88
10618,2121.0,67129,65008.0,3.16
2155,1591.0,67326,65735.0,2.36
9749,1618.0,64983,63365.0,2.49
8451,1085.0,37593,36508.0,2.89
3292,1837.0,67295,65458.0,2.73
13589,1966.0,61764,59798.0,3.18
7267,2108.0,67315,65207.0,3.13
4942,2255.0,65171,62916.0,3.46
2637,1869.0,51884,50015.0,3.6
21447,598.0,10311,9713.0,5.8
20001,760.0,14601,13841.0,5.21
7028,2247.0,67272,65025.0,3.34
15446,1672.0,45623,43951.0,3.66
8270,770.0,19075,18305.0,4.04
15310,1593.0,42554,40961.0,3.74
3022,1710.0,48511,46801.0,3.52
7511,1947.0,66121,64174.0,2.94
3689,1936.0,53789,51853.0,3.6
13646,2168.0,56335,54167.0,3.85
12788,1205.0,31399,30194.0,3.84
18772,712.0,17020,16308.0,4.18
3896,2080.0,67313,65233.0,3.09
10167,2016.0,66008,63992.0,3.05
20639,320.0,11905,11585.0,2.69
14318,1404.0,56500,55096.0,2.48
18273,943.0,17687,16744.0,5.33
18309,785.0,18136,17351.0,4.33
2820,2003.0,67305,65302.0,2.98
12283,1671.0,46536,44865.0,3.59
21080,551.0,10786,10235.0,5.11
13027,491.0,11511,11020.0,4.27
19187,914.0,16276,15362.0,5.62
17880,876.0,16911,16035.0,5.18
14626,1836.0,51456,49620.0,3.57
1692,1976.0,65482,63506.0,3.02
2907,1981.0,64194,62213.0,3.09
6734,2675.0,67258,64583.0,3.98
10978,2465.0,67298,64833.0,3.66
12073,1138.0,38589,37451.0,2.95
17696,937.0,18727,17790.0,5.0
11196,2063.0,67122,65059.0,3.07
3958,2051.0,67019,64968.0,3.06
857,1527.0,47637,46110.0,3.21
57284,71.0,2971,2900.0,2.39
53670,30.0,1381,1351.0,2.17
58867,78.0,2722,2644.0,2.87
20984,420.0,10749,10329.0,3.91
56724,100.0,2957,2857.0,3.38
723,2235.0,61152,58917.0,3.65
2524,2304.0,61948,59644.0,3.72
14367,1802.0,51002,49200.0,3.53
4863,1702.0,53060,51358.0,3.21
13614,2103.0,57844,55741.0,3.64
10022,2709.0,64956,62247.0,4.17
9679,2062.0,65751,63689.0,3.14
3918,1727.0,53123,51396.0,3.25
20506,635.0,14928,14293.0,4.25
1167,1673.0,53510,51837.0,3.13
713,468.0,15934,15466.0,2.94
4068,1726.0,55996,54270.0,3.08
14180,1988.0,55103,53115.0,3.61
13559,1980.0,60047,58067.0,3.3
17,1950.0,67155,65205.0,2.9
244,2094.0,53124,51030.0,3.94
14929,1802.0,48050,46248.0,3.75
3132,1697.0,48346,46649.0,3.51
15982,950.0,18749,17799.0,5.07
19594,866.0,15632,14766.0,5.54
18538,774.0,17501,16727.0,4.42
14581,1248.0,32049,30801.0,3.89
21529,356.0,5945,5589.0,5.99
12550,597.0,13412,12815.0,4.45
13599,1464.0,37396,35932.0,3.91
20006,637.0,14596,13959.0,4.36
19578,602.0,14661,14059.0,4.11
737,2278.0,63933,61655.0,3.56
14423,1048.0,52454,51406.0,2.0
17018,1029.0,21716,20687.0,4.74
16865,535.0,8490,7955.0,6.3
4103,1975.0,54261,52286.0,3.64
17117,1537.0,22728,21191.0,6.76
23520,238.0,4590,4352.0,5.19
9613,1232.0,67178,65946.0,1.83
15463,1159.0,39354,38195.0,2.95
13682,2009.0,59434,57425.0,3.38
10195,2389.0,65441,63052.0,3.65
7433,2343.0,64787,62444.0,3.62
11501,2730.0,65842,63112.0,4.15
18713,822.0,16015,15193.0,5.13
11763,1773.0,67457,65684.0,2.63
8106,2211.0,67160,64949.0,3.29
17530,1363.0,21312,19949.0,6.4
1564,1900.0,67158,65258.0,2.83
17268,1375.0,22254,20879.0,6.18
11013,2345.0,66542,64197.0,3.52
11285,2444.0,65089,62645.0,3.75
18049,1089.0,18380,17291.0,5.92
1489,1316.0,44056,42740.0,2.99
11872,2716.0,67302,64586.0,4.04
456,1983.0,64954,62971.0,3.05
650,59.0,1862,1803.0,3.17
13954,2019.0,55777,53758.0,3.62
16522,1489.0,30336,28847.0,4.91
14117,2033.0,55569,53536.0,3.66
22260,318.0,4778,4460.0,6.66
11513,2081.0,70174,68093.0,2.97
13463,1535.0,61154,59619.0,2.51
9115,1547.0,54057,52510.0,2.86
15760,854.0,20074,19220.0,4.25
15496,750.0,29648,28898.0,2.53
7339,1757.0,44571,42814.0,3.94
12726,2436.0,41841,39405.0,5.82
9048,2096.0,67247,65151.0,3.12
13570,1978.0,57048,55070.0,3.47
12580,1513.0,36551,35038.0,4.14
15084,1308.0,37993,36685.0,3.44
21567,446.0,7102,6656.0,6.28
1508,1877.0,67305,65428.0,2.79
14642,1706.0,53243,51537.0,3.2
5507,1502.0,40971,39469.0,3.67
3135,2055.0,67284,65229.0,3.05
6404,2072.0,65058,62986.0,3.18
9288,1998.0,53823,51825.0,3.71
8916,2008.0,67249,65241.0,2.99
1984,1732.0,54596,52864.0,3.17
5980,784.0,21417,20633.0,3.66
2137,2378.0,67239,64861.0,3.54
539,2192.0,46572,44380.0,4.71
7724,2186.0,63048,60862.0,3.47
5848,2689.0,66744,64055.0,4.03
6698,2109.0,66226,64117.0,3.18
5209,1751.0,53885,52134.0,3.25
8518,1472.0,47113,45641.0,3.12
18004,1026.0,21577,20551.0,4.76
6785,2086.0,67306,65220.0,3.1
2831,1310.0,41879,40569.0,3.13
14771,1917.0,50115,48198.0,3.83
9570,2371.0,67300,64929.0,3.52
7671,1641.0,67222,65581.0,2.44
21179,515.0,10316,9801.0,4.99
12624,2460.0,67271,64811.0,3.66
14742,1834.0,53062,51228.0,3.46
4851,2091.0,67267,65176.0,3.11
3347,1969.0,67293,65324.0,2.93
5516,1364.0,37635,36271.0,3.62
5468,2075.0,67307,65232.0,3.08
16673,1071.0,30816,29745.0,3.48
20529,563.0,14175,13612.0,3.97
21763,363.0,8622,8259.0,4.21
8954,1969.0,67305,65336.0,2.93
